,img_id,HUMAN,NoF,YFT,ALB,OTH,BILL,DOL,BET,SKJ,LAG,SHARK,OIL,PLS,TUNA,WATER
0,dabf988c-db28-11ea-b646-f751770c2667,1,,,1,,,,,,,,,,,
1,da4cbfa6-db28-11ea-b466-bb5f9e1c58d1,1,,,1,,,,,,,,,,,
2,94d2518e-23f0-11e9-a8ae-97372c179db9,1,,,,,,,1,,,,,,,
3,da97f94e-db28-11ea-a4e2-6bc6f4fb7b0e,1,,,1,,,,,1,,,,,,
4,dad1c426-db28-11ea-bb6b-3f63cdd14d9d,1,,1,,,,,,,,,,,,
5,da43a9c0-db28-11ea-a09f-f7a23d749201,1,,,,,,,,,,,,,,
6,94d4cad6-23f0-11e9-ab1f-83bb91568474,1,,1,,,,,,,,,,,,
7,94a90946-23f0-11e9-ae2a-3330cc71e114,1,,,,,,,,,,,,,,
8,94af7042-23f0-11e9-bdbd-573ab8574e10,1,,,,1,,,,,,,,,,
9,da9879be-db28-11ea-a55b-ff5c1759cd28,1,,,1,,,,,,,,,,,
10,da47cc26-db28-11ea-a88e-935259724cd9,1,,,,,,,,,,,,,,
11,94c48d56-23f0-11e9-aee8-d35309b274fa,1,,1,,,,,,,,,,,,
12,da87c18c-db28-11ea-bef6-13569220c539,1,,,,1,,,,,,,,,,
13,dab05c1e-db28-11ea-ba02-5be68c071622,1,,1,,,,,,,,,,,,
14,da3dfa2a-db28-11ea-9390-5bf79d77fbd8,1,,,,,,,,,,,,,,
15,94cb4786-23f0-11e9-b8c3-bfd0039015fc,1,,1,,,,,,,,,,,,
16,da99cbd4-db28-11ea-a6ed-0736855454a4,1,,,1,,,,,1,,,,,,
17,da7d8050-db28-11ea-b7db-6be93230a1b1,1,,,,,,,,,,,,,,
18,94a874ea-23f0-11e9-aca4-3bbc5590dc23,1,,,,,,,,,,,,,,
19,94a982c2-23f0-11e9-af52-0386650f7005,1,,,1,,,,,1,,,,,,
20,da47cc6c-db28-11ea-a88f-833bac6a2739,1,,,,,,,,,,,,,,
21,da902386-db28-11ea-9c61-c72977af6c3b,1,,,,,,,,,,,,,,
22,94c1a8ca-23f0-11e9-a7ce-f7131d4c3178,1,,,1,,,,,,,,,,,
23,da95c11a-db28-11ea-a275-3b58e6750635,1,,,1,1,,,,,,,,,,
24,da8b057c-db28-11ea-96b6-570fa5f514c4,1,,,,,,,,,,,,,,
25,da4929f4-db28-11ea-abe9-d73d033d951c,1,,,,,,1,,,,,,,,
26,daceaeb2-db28-11ea-b7fb-7f87ed939565,1,,1,,,,,,,,,,,,
27,94bbf592-23f0-11e9-be02-73a2b607154b,1,,,1,,,,,,,,,,,
28,da7db69c-db28-11ea-b81b-a7a1c9b89954,1,,,,,,,,,,,,,,
29,da561330-db28-11ea-bbb3-f7d77afa6893,1,,1,1,,,,,,,,,,,
30,94b80efa-23f0-11e9-b4f0-d379d018a129,1,,,1,,,,,,,,,,,
31,dacf4f34-db28-11ea-b8a9-87b931f980d7,1,,1,,,,,,,,,,,,
32,da433ea4-db28-11ea-9fa1-67dc5ca213f5,1,,,,,,,,,,,,,,
33,da5210aa-db28-11ea-bc54-3f941485468a,1,,,,,,,,,,,,,,
34,da9feb5e-db28-11ea-ad47-0f593ba5f0db,1,,,1,,,,,,,,,,,
35,da88ebca-db28-11ea-9436-e37b6d194891,1,,,,,,,,,,,,,,
36,da89e1a6-db28-11ea-9557-1f0d7cf9f57d,,,,,1,,,,,,,,,,
37,da74e800-db28-11ea-ae06-23c1aea968e7,1,,,,,,,,,,,,,,
38,da42e058-db28-11ea-9eb6-4726ea6bfaab,1,,,,,,,,,,,,,,
39,94aadc4e-23f0-11e9-b263-bbe09be5cde0,,1,,,,,,,,,,,,,
40,da4f2e9e-db28-11ea-bb23-0f82e28e3e17,1,,1,,,,,,,,,,,,
41,da64427a-db28-11ea-9f75-875eb734fee2,1,,,,1,,1,,,,,,,,
42,dac694a2-db28-11ea-bde7-8f1e8e9729c4,1,,,1,,,,,,,,,,,
43,94f45afe-23f0-11e9-b6f2-272f2c57f64b,,1,,,,,,,,,,,,,
44,da4321c6-db28-11ea-9f5c-672c81e040b0,1,,,,,,,,,,,,,,
45,da4f417c-db28-11ea-bb52-6bfc684a88b5,1,,1,,,,,,,,,,,,
46,dab05bb0-db28-11ea-ba01-afa6908ad7e6,1,,1,,,,,,,,,,,,
47,da79b4b6-db28-11ea-b371-bb2cc1284818,1,,,,,,,,,,,,,,
48,dad64b68-db28-11ea-9802-1beac64b12f0,1,,,,,,,1,,,,,,,
49,94d80692-23f0-11e9-ae75-4f60d7fada9e,1,,,,,,,1,,,,,,,
50,da4f3664-db28-11ea-bb3b-3b529e9336b2,1,,,,,,,,,,,,,,
51,94b3969a-23f0-11e9-b5f0-6f6d591d704b,1,,,1,,,,,,,,,,,
52,da8c64ee-db28-11ea-9845-9f61f5451bbb,1,,,,,,,,,,,,,,
53,da4f3d4e-db28-11ea-bb4a-2fcbf31c621d,1,,,,,,,,,,,,,,1
54,94b4ee32-23f0-11e9-b92c-f35e104fb852,1,,,1,,,,,,,,,,,
55,94ad07b2-23f0-11e9-b79c-c3382d0d832b,1,,,,1,,,,,,,,,,
56,da5853d4-db28-11ea-8f07-5335a0bd9eb0,1,,1,,1,,,,,,,,,,
57,94b74a2e-23f0-11e9-bf11-e3c7e80984d2,1,,,1,,,,,1,,,,,,
58,94e8e37c-23f0-11e9-a9c6-cb0215f9025d,1,,,1,,,,,,,,,,,
59,94c03706-23f0-11e9-a440-37768abdec02,1,,,,,,,,,1,,,,,
60,da51373e-db28-11ea-b9ff-7378492b36e0,1,,,1,,,,,,,,,,,
61,94cbe1d2-23f0-11e9-b966-33a8b47e1232,1,,,1,,,,,,,,,,,
62,94a72ac2-23f0-11e9-a906-ab2b8540027c,,1,,,,,,,,,,,,,
63,94a838f4-23f0-11e9-abfe-d30bf3d8527b,,1,,,,,,,,,,,,,
64,da4971f2-db28-11ea-aca0-07b27c19547f,1,,1,,,,,,,,,,,,
65,94b78c32-23f0-11e9-bfac-b75d9291f364,1,,,,,,,,,,,,,,
66,da80a80c-db28-11ea-baaa-53aaed45b089,1,,,,,,,1,,,,,,,
67,da9b41da-db28-11ea-a88e-bb402c6a5ae2,1,,,1,,,,,1,,,,,,
68,da93d490-db28-11ea-a067-8ffd5319f970,1,,1,,,,,,,,,,,,
69,da4494c0-db28-11ea-a2df-5362012c7f60,1,,,,,,,,,,,,,,
70,dac86796-db28-11ea-b1cc-b3475d1333e0,1,,1,,,,,,,,,,,,
71,da4f8d08-db28-11ea-bc2d-bff5c61a6acf,1,,,,,,,,,,,,,,
72,da73bf3e-db28-11ea-acc9-235b161e8cac,1,,,1,,,,,,,,,,,
73,dadb2778-db28-11ea-9cf9-17d3b7e31db0,1,,1,,,,,,,,,,,,
74,da9552fc-db28-11ea-a1ef-6f85e7b96a6c,1,,,,,,,,,,,,,,
75,da8e2554-db28-11ea-9a2f-5f29580fc930,1,,,,,,,,,,,,,,
76,da98362a-db28-11ea-a521-2306350404f0,1,,,1,,,,,1,,,,,,
77,94c1fc76-23f0-11e9-a8a3-5b206b6ae5bc,1,,,,,,,,,1,,,,,
78,94fc4142-23f0-11e9-bf01-63088270f5ab,1,,,1,,,,,,,,,,,
79,da561c9a-db28-11ea-bbd1-0f5f98d313a4,1,,,1,,,,,,,,,,,
80,da4cbeb6-db28-11ea-b463-efe87b8848d8,1,,,1,,,,,,,,,,,
81,94cc720a-23f0-11e9-ba01-bb992c960bb1,1,,,,,,,1,,,,,,,
82,94b4392e-23f0-11e9-b787-f3ed60e67ce2,1,,,1,,,1,,,,,,,,
83,da9bd3b6-db28-11ea-a91e-07b8acaa0815,1,,,,1,,,,,,,,,,
84,da8ade6c-db28-11ea-9689-d7e3c3742eee,1,,,,,,,,,,,,,,
